Ability,ID,UnitName,Description,Type,School,Categories,Mechanic,Condition,SpellTier,SourceTier,SourceLevel,IsVBlood,BaseCooldown,BaseCastTime,Magic,Unarmed,Sword,GreatSword,Axe,Mace,DualHammers,Spear,Daggers,Crossbow,Longbow,Pistols,Reaper,Whip,Claws,Pollaxe,Slashers,TwinBlades,Wolf,Bear,Rat,Spider,Toad,Werewolf,Gargoyle,Mounted,Enabled,Cooldown,Range,Charges,ChargeTime,AoE,ProjSpeed,LeapHeight,Duration,Healing,DamageScale,CooldownScale,ForceTimeout,PowerWindow,SummonCap,SummonTimeout,SummonUnits,CastSpeed,FreelyMove,InterruptOnHit,TransformOnly,Crash/Issue,Notes
Cursed Toad Spitter Poison Rain,193936844,Cursed Toad Spitter,,AoE,,Other,AoE,,,T3,61,N,16,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Toad Spitter Projectile,-2117925151,Cursed Toad Spitter,,Projectile,,Other,Projectile,Aimed,,T3,61,N,2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Witch Corrupted Ghouls,1898980277,Cursed Witch,,Summon,,Other,Summon,Summon,,T4,76,Y,40,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Witch Death Squad,1628136011,Cursed Witch,,Summon,,Other,Summon,,,T4,76,Y,14,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Witch Explode Mosquito,-1729075022,Cursed Witch,,,,Other,,CloseRange,,T4,76,Y,20,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Witch Exploding Mushrooms,1603735911,Cursed Witch,,AoE,,Other,AoE,,,T4,76,Y,17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Witch Wicked Whisps,1294766036,Cursed Witch,,Projectile,,Other,Projectile,,,T4,76,Y,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Witch Witch Bolt,1511001063,Cursed Witch,,AoE,,Other,AoE; Projectile,Aimed,,T4,76,Y,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shriek,1860769470,Cursed Witch,Summon ghosts at target location that deals {damage} magic damage and inflict panic on all enemies hit that last for {duration}s.,,,Other,,CloseRange,,T4,76,Y,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mosquito Dash Attack,-1979483677,Cursed Witch Exploding Mosquito; Cursed Mosquito,,Movement,,Other,Movement,CloseRange,,T3,60,N,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1451199905,Cursed Witch Exploding Mosquito; Cursed Mosquito,,Melee,,Other,Melee,CloseRange,,T3,60,N,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Cursed Witch Aoe Channel,2107853915,Cursed Witch; Cursed Witch Nether Demon,,AoE,,Other,AoE,,,T4,72,N,17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Witch Projectile,1915605718,Cursed Witch; Cursed Witch Nether Demon,,AoE,,Other,AoE,Aimed,,T4,72,N,2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,2025233638,Cursed Witch; Cursed Witch Nether Demon,,Melee,,Other,Melee,,,T4,72,N,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Shriek,429807295,Cursed Witch; Cursed Witch Nether Demon,Summon ghosts at target location that deals {damage} magic damage and inflict panic on all enemies hit that last for {duration}s.,AoE,,Other,AoE,CloseRange,,T4,72,N,8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atak podstawowy,-1601666166,Cursed Wolf,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Other,Melee,CloseRange,,T3,62,N,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Wolf Cursed Dash Attack,-1317017789,Cursed Wolf,,Movement,,Other,Movement,CloseRange,,T3,62,N,7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1105185654,Cursed Worm Terror,,Melee,,Other,Melee,CloseRange,,T3,63,N,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Worm Terror Acid Puke,-1789897775,Cursed Worm Terror,,AoE,,Other,AoE,CloseRange,,T3,63,N,10,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worm Terror Dig,1938535864,Cursed Worm Terror,,Movement,,Other,Movement,Movement,,T3,63,N,8,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracula Blood Soul Absorb,-1768784526,Dracula Blood Soul,,Heal,Blood,Other,Heal; Summon,Summon,,T4,90,N,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracula Blood Soul Channel Heal,1767074088,Dracula Blood Soul Heart,,Heal,Blood,Other,Heal,,,T4,90,N,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracula Shadow Bat Swarm Dash,-1099406988,Dracula Shadow Bat Swarm,,Movement,,Other,Movement,Aimed,,T4,90,N,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracula Spell Stone Bolt Spray,1957691133,Dracula Spell Stone Large Blood,,Projectile,,Other,Projectile,,,T4,90,N,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,UNBLOCKED 2026-06-05 — tester could not reproduce the crash on the current build.
Dracula Spell Stone Circling Blood,2079740557,Dracula Spell Stone Large Blood,,,,Other,,CloseRange,,T4,90,N,120,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,458004643,Errol the Stonebreaker,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1850515789,Farmlands Farmer,,Melee,,Other,Melee,CloseRange,,T2,34,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Hostile Villager Frying Pan Attack,664138263,Farmlands Hostile Villager Female Frying Pan,,,,Other,,CloseRange,,T1,28,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Villager Pitchfork Attack,-650192545,Farmlands Hostile Villager Female Pitchfork,,,,Other,,CloseRange,,T1,28,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Villager Club Attack,-1691591896,Farmlands Hostile Villager Male Club,,,,Other,,CloseRange,,T1,28,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Villager Shovel Attack,477397109,Farmlands Hostile Villager Male Shovel,,,,Other,,CloseRange,,T1,28,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Villager Torch Attack,2136688539,Farmlands Hostile Villager Male Torch,,,,Other,,CloseRange,,T1,28,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Villager Torch Throw,1850527627,Farmlands Hostile Villager Male Torch,,AoE,,Other,AoE,CloseRange,,T1,28,N,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostile Villager Unarmed Attack,446999227,Farmlands Hostile Villager Male Unarmed; Farmlands Hostile Villager Werewolf,,,,Other,,CloseRange,,T1,28,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atak podstawowy,797495975,Farmlands Hostile Villager Werewolf,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Buff,,Other,Buff,CloseRange,,T3,60,N,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-831562637,Farmlands Hostile Villager Werewolf,,Melee,,Other,Melee,CloseRange,,T3,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Werewolf Bite,-1789525825,Farmlands Hostile Villager Werewolf,,Heal,,Other,Heal,CloseRange,,T3,60,N,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werewolf Dash,1063690361,Farmlands Hostile Villager Werewolf,,Movement,,Other,Movement,CloseRange,,T3,60,N,1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nun AoE,919394375,Farmlands Nun; Militia Nun,,AoE,,Other,AoE; Heal,,,T2,46,N,0.85,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: TUNE
Nun Projectile,-1199987827,Farmlands Nun; Militia Nun,,Projectile,,Other,Projectile,Aimed,,T2,46,N,4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,22263894,Farmlands Nun; Militia Nun,,Melee,,Other,Melee,CloseRange,,T2,46,N,2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,845410366,Farmlands Woodcutter Standard; Farmlands Woodcutter,,Melee,,Other,Melee,,,T2,34,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacco primario,-217583794,Forest Bear Dire Vblood,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Other,Melee,,,T2,35,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Bear Dire Area Attack,-1972594588,Forest Bear Dire Vblood,,AoE,,Other,AoE,CloseRange,,T2,35,Y,6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Bear Dire Dash,-1709055711,Forest Bear Dire Vblood,,Movement,,Other,Movement,CloseRange,,T2,35,Y,12,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Bear Dire Melee Attack,1814567660,Forest Bear Dire Vblood,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Other,Melee,CloseRange,,T2,35,Y,2.3,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Bear Dire Roar,-1559349374,Forest Bear Dire Vblood,,Summon,,Other,Summon,Summon,,T2,35,Y,20,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Bear Fall Asleep,-193432841,Forest Bear Dire Vblood; Cursed Bear; Forest Bear; Mutant Bear; Winter Bear,,,,Other,,,,T2,35,Y,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),STUCK: toggle-lock until Wake Up (Treant/Golem/Bear Fall Asleep) - tester v0.100
Giant Crow Peck,898033701,Forest Crow; Crow Manticore; Graveyard Crow; Noctem Crow,,,,Other,,CloseRange,,T1,14,N,3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Crow Taunt,1333250097,Forest Crow; Crow Manticore; Graveyard Crow; Noctem Crow,,,,Other,,,,T1,14,N,3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Behaviour Variation Approch,-447578631,Forest Crow; Crow Manticore; Vampire Withered; Legion Nightmare; Legion Nightmare Lesser; Mutant Rat Horror; Graveyard Crow; Noctem Crow,,,,Other,,,,T1,14,N,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Behaviour Variation Circle Close,-2125818102,Forest Crow; Crow Manticore; Vampire Withered; Legion Nightmare; Legion Nightmare Lesser; Mutant Rat Horror; Graveyard Crow; Noctem Crow,,,,Other,,,,T1,14,N,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Behaviour Variation Circle Far,903306477,Forest Crow; Crow Manticore; Vampire Withered; Legion Nightmare; Legion Nightmare Lesser; Mutant Rat Horror; Graveyard Crow; Noctem Crow,,,,Other,,,,T1,14,N,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Behaviour Variation Circle Mid,-1357699119,Forest Crow; Crow Manticore; Vampire Withered; Legion Nightmare; Legion Nightmare Lesser; Mutant Rat Horror; Graveyard Crow; Noctem Crow,,,,Other,,,,T1,14,N,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moose Charge,1883230955,Forest Moose; Creature Moose Mutated,,,,Other,,CloseRange,,T1,16,N,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Strike,-821573025,Forest Wolf,,Movement,,Other,Movement,Aimed,,T1,16,Y,1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Wolf Boss Bite,-1654954396,Forest Wolf,,Melee,,Other,Melee,CloseRange,,T1,16,Y,1.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Wolf Boss Bite Enraged,1558429115,Forest Wolf,,Melee,,Other,Melee,CloseRange,,T1,16,Y,1.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Wolf Boss Dash Attack Double,280173050,Forest Wolf,,Movement,,Other,Movement,CloseRange,,T1,16,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Wolf Boss Dash Attack Single,920051497,Forest Wolf,,Movement,,Other,Movement,CloseRange,,T1,16,Y,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Wolf Boss Dash Attack Tripple,-1161539168,Forest Wolf,,Movement,,Other,Movement,CloseRange,,T1,16,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Wolf Boss Howl,247740796,Forest Wolf,,Summon,,Other,Summon,Summon,,T1,16,Y,20,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Wolf Boss Maul Hard,2145136774,Forest Wolf,,Movement,,Other,Movement,CloseRange,,T1,16,Y,1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: brutal _Hard_ difficulty variant of a base ability — evaluate unique attributes vs the base
Pixie Projectile,-259433272,Gate Boss Pixie; Pixie,,Projectile,,Other,Projectile,Aimed,,T2,35,N,3.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geomancer Awake,-394948183,Geomancer Awake (inferred),,,,,,,,,,,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Primary Attack,1272395899,Geomancer Golem; Stone Golem; Copper Golem,,Melee,,Other,Melee,CloseRange,,T3,48,N,2,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Geomancer Enrage,-1204505053,Geomancer Human,,Buff,,Other,Buff,,,T3,53,Y,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Geomancer Enraged Smash,1079488801,Geomancer Human,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Projectile,,Other,Projectile,Aimed,,T3,53,Y,11,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Geomancer Golem Raise Guardians,-598112885,Geomancer Human,,Summon,,Other,Summon,Summon,,T3,53,Y,8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Geomancer Ground Slam,2106422510,Geomancer Human,,,,Other,,CloseRange,,T3,53,Y,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: TUNE
Geomancer Human Projectile,-1635892700,Geomancer Human,,Projectile,,Other,Projectile,Aimed,,T3,53,Y,3.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NEEDS-WORK
Geomancer Rock Slam,-221719333,Geomancer Human,,AoE,,Other,AoE; Summon,CloseRange,,T3,53,Y,11,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Geomancer Transform To Golem,1925592126,Geomancer Human,,,,Other,,,,T3,53,Y,1.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Geomancer Transform To Golem Second Time,-2084016434,Geomancer Human,,,,Other,,,,T3,53,Y,1.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Geomancer Transform To Human,-716557249,Geomancer Human,,,,Other,,,,T3,53,Y,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: GOOD
Geomancer Underground Tremmors,-1148606177,Geomancer Human,,AoE,,Other,AoE,,,T3,53,Y,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Primary Attack,1500843923,Geomancer Human,,Melee,,Other,Melee,CloseRange,,T3,53,Y,2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Gloomrot Ace Incinerator Carpet Incineration,-1954926268,Gloomrot Ace Incinerator,,Movement,,Other,Movement,Aimed,,T4,74,N,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloomrot Ace Incinerator Flame Shot,-297165667,Gloomrot Ace Incinerator,,Projectile,,Other,Projectile,Aimed,,T4,74,N,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloomrot Ace Incinerator Flame Spreader,-1462866563,Gloomrot Ace Incinerator,,,,Other,,CloseRange,,T4,74,N,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1311267272,Gloomrot Batoon,,Melee,,Other,Melee,CloseRange,,T3,58,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Iva Autofire,-580940152,Gloomrot Iva,,Projectile,,Other,Projectile,Aimed,,T3,60,Y,2.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Ball Lightning,870237772,Gloomrot Iva,,AoE,,Other,AoE,CloseRange,,T3,60,Y,0.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva BFG Orb,-786900742,Gloomrot Iva,,AoE,,Other,AoE,CloseRange,,T3,60,Y,0.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva BFGLightning Fire,1524772628,Gloomrot Iva,,Projectile,,Other,Projectile,Aimed,,T3,60,Y,2.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Iva Bomber Jetpack Chase Target,-1715136284,Gloomrot Iva,,,,Other,,,,T3,60,Y,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Bomber Jetpack Land,-577179884,Gloomrot Iva,,Movement,,Other,Movement,,,T3,60,Y,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Bomber Jetpack Take Off,-1770586075,Gloomrot Iva,,AoE,,Other,AoE; Movement; Summon,,,T3,60,Y,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,15,,,,,,30,,,,,,,,,,,,,,,UNBLOCKED 2026-06-05 — launch tamed via leapheight=30 + cooldown=15s instead of blocking.
Iva Burning Ring Of Fire,1517447626,Gloomrot Iva,,,,Other,,CloseRange,,T3,60,Y,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Jet Dash,-639593760,Gloomrot Iva,,Movement,,Other,Movement,CloseRange,,T3,60,Y,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Jet Escape,-309871879,Gloomrot Iva,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Movement,,Other,Movement,CloseRange,,T3,60,Y,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Shotgun Blast,1450987113,Gloomrot Iva,,Projectile,,Other,Projectile,,,T3,60,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Tazer,891644945,Gloomrot Iva,,Projectile,,Other,Projectile,Aimed,,T3,60,Y,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Weapon Equip BFG,948730951,Gloomrot Iva,,,,Other,,,,T3,60,Y,0.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Iva Weapon Equip Flamer,-2020699185,Gloomrot Iva,,,,Other,,,,T3,60,Y,0.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Weapon Equip Shotgun,-420570478,Gloomrot Iva,,,,Other,,,,T3,60,Y,0.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Weapon Equip Tazer,-1409019914,Gloomrot Iva,,,,Other,,,,T3,60,Y,0.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Weapon Malfunction BFG,2013545793,Gloomrot Iva,,,,Other,,Aimed,,T3,60,Y,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Weapon Malfunction Flamer,49364370,Gloomrot Iva,,,,Other,,,,T3,60,Y,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Weapon Malfunction Shotgun,-680856467,Gloomrot Iva,,,,Other,,,,T3,60,Y,0.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iva Weapon Malfunction Tazer,1149489416,Gloomrot Iva,,,,Other,,Aimed,,T3,60,Y,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Barrier,1065629794,Gloomrot Monster,Block melee and projectile attacks in front of you for s. Blocking an attack charges the barrier up to 5 times. Unleash a chaos bolt dealing %50 magic damage and inflicting Ignite when the effect ends. The projectile deals %40 additional damage per charge. Recast during the effect to launch the projectile early.,Projectile,,Other,Projectile,,,T4,88,Y,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye of the Storm,-820078889,Gloomrot Monster,Knockback nearby enemies and conjure a thunderstorm around you. Lightning bolts strike down in the surrounding area dealing {damage} magic damage and inflicts Static. The storm rages on for {duration}s and lightning strikes the area {count} times over the duration.,Ultimate,Storm,Storm; Ultimate,AoE,CloseRange,,T4,88,Y,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golpe Espectral,927872126,Gloomrot Monster,,Projectile,,Other,Projectile,Aimed,,T4,88,Y,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Electric Field,-1503327574,Gloomrot Monster,,AoE,,Other,AoE,CloseRange,,T4,88,Y,1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Final Projectile,-741006712,Gloomrot Monster,,Projectile,,Other,Projectile,Aimed,,T4,88,Y,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Grab,723715376,Gloomrot Monster,,Projectile,,Other,Projectile,CloseRange,,T4,88,Y,1,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Lightning Slam Land,1492585365,Gloomrot Monster,,Movement,,Other,Movement,Aimed,,T4,88,Y,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Lightning Slam Lift Off,1795073911,Gloomrot Monster,,Movement,,Other,Movement,Aimed,,T4,88,Y,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
